,base,cf,cont,delim,epos,extent,form,gdl,gw,id_text,id_word,label,lang,morph,norm,norm0,pos,scope,sense,state,lemma,id_line
279,dug₄,dug,-ga=g.a,,V/t,,dug₄-ga-a-ba,"[{'v': 'dug₄', 'id': 'P357170.64.8.0', 'delim': '-'}, {'v': 'ga', 'id': 'P357170.64.8.1', 'delim': '-'}, {'v': 'a', 'id': 'P357170.64.8.2', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.64.8.3'}]",speak,niektest/P357170,P357170.64.8,r 60,sux,"~;a,bi.a",,"dug;a,bi.a",V/t,,speak,,dug[speak]V/t,64
280,a,a,, ,N,,a,"[{'v': 'a', 'id': 'P357170.65.1.0'}]",water,niektest/P357170,P357170.65.1,r 61,sux,~,,a,N,,water,,a[water]N,65
281,tu₅,tu,, ,V/t,,mu-un-tu₅,"[{'v': 'mu', 'id': 'P357170.65.2.0', 'delim': '-'}, {'v': 'un', 'id': 'P357170.65.2.1', 'delim': '-'}, {'v': 'tu₅', 'id': 'P357170.65.2.2'}]",cvve,niektest/P357170,P357170.65.2,r 61,sux,mu.n:~,,mu.n:tu,V/t,,(compound-verb-verbal-element),,tu[cvve]V/t,65
282,a,a,, ,N,,a,"[{'v': 'a', 'id': 'P357170.65.3.0'}]",water,niektest/P357170,P357170.65.3,r 61,sux,~,,a,N,,water,,a[water]N,65
283,NI-le,NI.le,, ,N,,NI-le,"[{'s': 'NI', 'id': 'P357170.65.4.0', 'delim': '-'}, {'v': 'le', 'id': 'P357170.65.4.1'}]",water,niektest/P357170,P357170.65.4,r 61,sux,~,,NI.le,N,,a-qualification-of-water,,NI.le[water]N,65
284,muš₃,muš,, ,N,,muš₃,"[{'v': 'muš₃', 'id': 'P357170.65.5.0'}]",face,niektest/P357170,P357170.65.5,r 61,sux,~,,muš,N,,face-appearance,,muš[face]N,65
285,kug,kug,, ,V/i,,kug-za,"[{'v': 'kug', 'id': 'P357170.65.6.0', 'delim': '-'}, {'v': 'za', 'id': 'P357170.65.6.1'}]",pure,niektest/P357170,P357170.65.6,r 61,sux,"~;*a,zu.a",,"kug;*a,zu.a",V/i,,(to-be)-pure,,kug[pure]V/i,65
286,si,si,, ,N,,si,"[{'v': 'si', 'id': 'P357170.65.7.0'}]",horn,niektest/P357170,P357170.65.7,r 61,sux,~,,si,N,,horn,,si[horn]N,65
287,sa₂,sa,,,V/t,,um-mi-in-sa₂,"[{'v': 'um', 'id': 'P357170.65.8.0', 'delim': '-'}, {'v': 'mi', 'id': 'P357170.65.8.1', 'delim': '-'}, {'v': 'in', 'id': 'P357170.65.8.2', 'delim': '-'}, {'v': 'sa₂', 'id': 'P357170.65.8.3'}]",equal,niektest/P357170,P357170.65.8,r 61,sux,u.Vmma.i.n:~,,u.Vmma.i.n:sa,V/t,,equal,,sa[equal]V/t,65
288,{tug₂}zulumhi,zulumhi,, ,N,,{tug₂}zulumhi,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'tug₂', 'id': 'P357170.66.1.0'}]}, {'v': 'zulumhi', 'id': 'P357170.66.1.1'}]",sheep,niektest/P357170,P357170.66.1,r 62,sux,~,,zulumhi,N,,a-ceremonial-garment,,zulumhi[sheep]N,66
289,{tug₂}pala₃,pala,, ,N,,{tug₂}pala₃,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'tug₂', 'id': 'P357170.66.2.0'}]}, {'v': 'pala₃', 'id': 'P357170.66.2.1'}]",garment,niektest/P357170,P357170.66.2,r 62,sux,~,,pala,N,,a-garment,,pala[garment]N,66
290,nam-nin,namnin,, ,N,,nam-nin,"[{'v': 'nam', 'id': 'P357170.66.3.0', 'delim': '-'}, {'v': 'nin', 'id': 'P357170.66.3.1'}]",ladyship,niektest/P357170,P357170.66.3,r 62,sux,~,,namnin,N,,ladyship,,namnin[ladyship]N,66
291,bar,bar,-ra=r.a, ,N,,bar-ra,"[{'v': 'bar', 'id': 'P357170.66.4.0', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.66.4.1'}]",outside,niektest/P357170,P357170.66.4,r 62,sux,~;a,,bar;a,V/t,,outside,,bar[outside]V/t,66
292,dul,dul,,,V/t,,nam-mi-in-dul,"[{'v': 'nam', 'id': 'P357170.66.5.0', 'delim': '-'}, {'v': 'mi', 'id': 'P357170.66.5.1', 'delim': '-'}, {'v': 'in', 'id': 'P357170.66.5.2', 'delim': '-'}, {'v': 'dul', 'id': 'P357170.66.5.3'}]",cover,niektest/P357170,P357170.66.5,r 62,sux,na.Vmma.i.n:~,,na.Vmma.i.n:dul,V/t,,to-cover,,dul[cover]V/t,66
293,me₃,me,, ,N,,me₃,"[{'v': 'me₃', 'id': 'P357170.67.1.0'}]",battle,niektest/P357170,P357170.67.1,r 63,sux,~,,me,N,,battle,,me[battle]N,67
294,šen-šen,šen,-na=n.a, ,N,,šen-šen-na,"[{'v': 'šen', 'id': 'P357170.67.2.0', 'delim': '-'}, {'v': 'šen', 'id': 'P357170.67.2.1', 'delim': '-'}, {'v': 'na', 'id': 'P357170.67.2.2'}]",battle,niektest/P357170,P357170.67.2,r 63,sux,"~,ak",,"šen,ak",N,,battle,,šen[battle]N,67
295,zag,zag,, ,N,,zag,"[{'v': 'zag', 'id': 'P357170.67.3.0'}]",side,niektest/P357170,P357170.67.3,r 63,sux,~,,zag,N,,side,,zag[side]N,67
296,keš₂,kešed,, ,V/t,,mi-ni-in-keš₂,"[{'v': 'mi', 'id': 'P357170.67.4.0', 'delim': '-'}, {'v': 'ni', 'id': 'P357170.67.4.1', 'delim': '-'}, {'v': 'in', 'id': 'P357170.67.4.2', 'delim': '-'}, {'v': 'keš₂', 'id': 'P357170.67.4.3'}]",bind,niektest/P357170,P357170.67.4,r 63,sux,mu.ni.n:~,,mu.ni.n:kešed,V/t,,bind,,kešed[bind]V/t,67
297,da-da-ra,dadara,, ,V/i,,da-da-ra-še₃,"[{'v': 'da', 'id': 'P357170.67.5.0', 'delim': '-'}, {'v': 'da', 'id': 'P357170.67.5.1', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.67.5.2', 'delim': '-'}, {'v': 'še₃', 'id': 'P357170.67.5.3'}]",tied,niektest/P357170,P357170.67.5,r 63,sux,"~;*a,eše",,"dadara;*a,eše",V/i,,(to-be)-tied-cramped-up,,dadara[tied]V/i,67
298,dug₄,dug,,,V/t,,ba-e-dug₄,"[{'v': 'ba', 'id': 'P357170.67.6.0', 'delim': '-'}, {'v': 'e', 'id': 'P357170.67.6.1', 'delim': '-'}, {'v': 'dug₄', 'id': 'P357170.67.6.2'}]",speak,niektest/P357170,P357170.67.6,r 63,sux,ba.e:~,,ba.e:dug,V/t,,speak,,dug[speak]V/t,67
299,barag,barag,, ,N,,barag,"[{'v': 'barag', 'id': 'P357170.68.1.0'}]",sanctum,niektest/P357170,P357170.68.1,r 64,sux,~,,barag,N,,sanctum,,barag[sanctum]N,68
300,mah,mah,, ,V/i,,mah-e,"[{'v': 'mah', 'id': 'P357170.68.2.0', 'delim': '-'}, {'v': 'e', 'id': 'P357170.68.2.1'}]",great,niektest/P357170,P357170.68.2,r 64,sux,~;e,,mah;e,V/i,,(to-be)-great,,mah[great]V/i,68
301,dur₂,dur,, ,N,,dur₂,"[{'v': 'dur₂', 'id': 'P357170.68.3.0'}]",buttocks,niektest/P357170,P357170.68.3,r 64,sux,~,,dur,N,,buttocks-rump,,dur[buttocks]N,68
302,an,an,, ,N,,an-še₃,"[{'v': 'an', 'id': 'P357170.68.4.0', 'delim': '-'}, {'v': 'še₃', 'id': 'P357170.68.4.1'}]",sky,niektest/P357170,P357170.68.4,r 64,sux,"~,eše",,"an,eše",N,,sky-heaven,,an[sky]N,68
303,ŋal₂,ŋal,, ,V/i,,mi-ni-in-ŋal₂,"[{'v': 'mi', 'id': 'P357170.68.5.0', 'delim': '-'}, {'v': 'ni', 'id': 'P357170.68.5.1', 'delim': '-'}, {'v': 'in', 'id': 'P357170.68.5.2', 'delim': '-'}, {'v': 'ŋal₂', 'id': 'P357170.68.5.3'}]",be,niektest/P357170,P357170.68.5,r 64,sux,mu.i.n:~,,mu.i.n:ŋal,V/i,,to-exist,,ŋal[be]V/i,68
304,ar₂,ar,, ,N,,ar₂,"[{'v': 'ar₂', 'id': 'P357170.68.6.0'}]",praise,niektest/P357170,P357170.68.6,r 64,sux,~,,ar,N,,(hymn-of)-praise,,ar[praise]N,68
305,daŋal,daŋal,, ,V/i,,daŋal,"[{'v': 'daŋal', 'id': 'P357170.68.7.0'}]",wide,niektest/P357170,P357170.68.7,r 64,sux,~,,daŋal,V/i,,(to-be)-wide,,daŋal[wide]V/i,68
306,zu,zu,,,V/t,,mu-ni-zu,"[{'v': 'mu', 'id': 'P357170.68.8.0', 'delim': '-'}, {'v': 'ni', 'id': 'P357170.68.8.1', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.68.8.2'}]",know,niektest/P357170,P357170.68.8,r 64,sux,mu.ni:~,,mu.ni:zu,V/t,,to-know,,zu[know]V/t,68
307,{d}inana,Inanak,, ,DN,,{d}inana,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.69.1.0'}]}, {'v': 'inana', 'id': 'P357170.69.1.1'}]",1,niektest/P357170,P357170.69.1,r 65,sux,~,,Inanak,DN,,1,,Inanak[1]DN,69
308,ŋidlam₂,ŋidlam,, ,N,,ŋidlam₂,"[{'v': 'ŋidlam₂', 'id': 'P357170.69.2.0'}]",spouse,niektest/P357170,P357170.69.2,r 65,sux,~,,ŋidlam,N,,(equal-ranking)-spouse,,ŋidlam[spouse]N,69
309,ki-aŋ₂,kiʾaŋa,, ,AJ,,ki-aŋ₂-zu,"[{'v': 'ki', 'id': 'P357170.69.3.0', 'delim': '-'}, {'v': 'aŋ₂', 'id': 'P357170.69.3.1', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.69.3.2'}]",beloved,niektest/P357170,P357170.69.3,r 65,sux,"~,zu",,"kiʾaŋa,zu",AJ,,beloved,,kiʾaŋa[beloved]AJ,69
310,zag,zag,-ge₄=g.e, ,N,,zag-ge₄,"[{'v': 'zag', 'id': 'P357170.69.4.0', 'delim': '-'}, {'v': 'ge₄', 'id': 'P357170.69.4.1'}]",side,niektest/P357170,P357170.69.4,r 65,sux,"~,eL",,"zag,eL",N,,side,,zag[side]N,69
311,sig₉,sig,,,V/t,,mu-un-di-ni-ib-sig₉,"[{'v': 'mu', 'id': 'P357170.69.5.0', 'delim': '-'}, {'v': 'un', 'id': 'P357170.69.5.1', 'delim': '-'}, {'v': 'di', 'id': 'P357170.69.5.2', 'delim': '-'}, {'v': 'ni', 'id': 'P357170.69.5.3', 'delim': '-'}, {'v': 'ib', 'id': 'P357170.69.5.4', 'delim': '-'}, {'v': 'sig₉', 'id': 'P357170.69.5.5'}]",put,niektest/P357170,P357170.69.5,r 65,sux,mu.n.da.ni.b:~,,mu.n.da.ni.b:sig,V/t,,put,,sig[put]V/t,69
312,diŋir,diŋir,, ,N,,diŋir,"[{'v': 'diŋir', 'id': 'P357170.70.1.0'}]",deity,niektest/P357170,P357170.70.1,r 66,sux,~,,diŋir,N,,deity,,diŋir[deity]N,70
313,kalam,kalam,-ma=m.a, ,N,,kalam-ma,"[{'v': 'kalam', 'id': 'P357170.70.2.0', 'delim': '-'}, {'v': 'ma', 'id': 'P357170.70.2.1'}]",land,niektest/P357170,P357170.70.2,r 66,sux,"~,ak",,"kalam,ak",N,,the-Land-(of-Sumer),,kalam[land]N,70
314,sug₂,sug,-ge=g+e, ,V/i,,ša-mu-ra-sug₂-ge-eš,"[{'v': 'ša', 'id': 'P357170.70.3.0', 'delim': '-'}, {'v': 'mu', 'id': 'P357170.70.3.1', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.70.3.2', 'delim': '-'}, {'v': 'sug₂', 'id': 'P357170.70.3.3', 'delim': '-'}, {'v': 'ge', 'id': 'P357170.70.3.4', 'delim': '-'}, {'v': 'eš', 'id': 'P357170.70.3.5'}]",stand,niektest/P357170,P357170.70.3,r 66,sux,ša.mu.ra:~;e.eš,,ša.mu.ra:sug;e.eš,V/i,,stand,,sug[stand]V/i,70
315,di,did,, ,N,,di-bi,"[{'v': 'di', 'id': 'P357170.70.4.0', 'delim': '-'}, {'v': 'bi', 'id': 'P357170.70.4.1'}]",lawsuit,niektest/P357170,P357170.70.4,r 66,sux,"~,bi",,"did,bi",N,,lawsuit-trial,,did[lawsuit]N,70
316,kud,kud,-de₃=d.e,,V/t,,ši-kud-de₃,"[{'v': 'ši', 'id': 'P357170.70.5.0', 'delim': '-'}, {'v': 'kud', 'id': 'P357170.70.5.1', 'delim': '-'}, {'v': 'de₃', 'id': 'P357170.70.5.2'}]",cut,niektest/P357170,P357170.70.5,r 66,sux,ša.V:~;e,,ša.V:kud;e,V/t,,cut,,kud[cut]V/t,70
317,{d}a-nun-na,Anuna,, ,DN,,{d}a-nun-na,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.71.1.0'}]}, {'v': 'a', 'id': 'P357170.71.1.1', 'delim': '-'}, {'v': 'nun', 'id': 'P357170.71.1.2', 'delim': '-'}, {'v': 'na', 'id': 'P357170.71.1.3'}]",1,niektest/P357170,P357170.71.1,r 67,sux,~,,Anuna,DN,,1,,Anuna[1]DN,71
318,an-šar₂,anšar,, ,N,,an-šar₂,"[{'v': 'an', 'id': 'P357170.71.2.0', 'delim': '-'}, {'v': 'šar₂', 'id': 'P357170.71.2.1'}]",~heaven,niektest/P357170,P357170.71.2,r 67,sux,~,,anšar,N,,the-entirety-of-heaven,,anšar[~heaven]N,71
319,ki-šar₂,kišar,, ,N,,ki-šar₂-ba,"[{'v': 'ki', 'id': 'P357170.71.3.0', 'delim': '-'}, {'v': 'šar₂', 'id': 'P357170.71.3.1', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.71.3.2'}]",earth,niektest/P357170,P357170.71.3,r 67,sux,"~,bi.a",,"kišar,bi.a",N,,horizon,,kišar[earth]N,71
320,igi,igi,, ,N,,igi-zu-še₃,"[{'v': 'igi', 'id': 'P357170.71.4.0', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.71.4.1', 'delim': '-'}, {'v': 'še₃', 'id': 'P357170.71.4.2'}]",eye,niektest/P357170,P357170.71.4,r 67,sux,"~,zu.eše",,"igi,zu.eše",N,,eye,,igi[eye]N,71
321,dur₂,dur,,,V/i,,i-im-dur₂-ru-uš,"[{'v': 'i', 'id': 'P357170.71.5.0', 'delim': '-'}, {'v': 'im', 'id': 'P357170.71.5.1', 'delim': '-'}, {'v': 'dur₂', 'id': 'P357170.71.5.2', 'delim': '-'}, {'v': 'ru', 'id': 'P357170.71.5.3', 'delim': '-'}, {'v': 'uš', 'id': 'P357170.71.5.4'}]",sit,niektest/P357170,P357170.71.5,r 67,sux,X,X,,V/i,,sit,,dur[sit]V/i,71
322,zi-ŋal₂,ziŋal,, ,N,,zi-ŋal₂,"[{'v': 'zi', 'id': 'P357170.72.1.0', 'delim': '-'}, {'v': 'ŋal₂', 'id': 'P357170.72.1.1'}]",living-things,niektest/P357170,P357170.72.1,r 68,sux,~,,ziŋal,N,,living-things,,ziŋal[living-things]N,72
323,kalam,kalam,, ,N,,kalam,"[{'v': 'kalam', 'id': 'P357170.72.2.0'}]",land,niektest/P357170,P357170.72.2,r 68,sux,~,,kalam,N,,the-Land-(of-Sumer),,kalam[land]N,72
324,saŋ,saŋ,, ,N,,saŋ,"[{'v': 'saŋ', 'id': 'P357170.72.3.0'}]",head,niektest/P357170,P357170.72.3,r 68,sux,~,,saŋ,N,,head,,saŋ[head]N,72
325,giggi,giggi,, ,V/i,,giggi,"[{'v': 'giggi', 'id': 'P357170.72.4.0'}]",black,niektest/P357170,P357170.72.4,r 68,sux,~,,giggi,V/i,,(to-be)-black,,giggi[black]V/i,72
326,uŋ₃,uŋ,, ,N,,uŋ₃,"[{'v': 'uŋ₃', 'id': 'P357170.72.5.0'}]",people,niektest/P357170,P357170.72.5,r 68,sux,~,,uŋ,N,,people,,uŋ[people]N,72
327,lu,lu,, ,V/i,,lu-a,"[{'v': 'lu', 'id': 'P357170.72.6.0', 'delim': '-'}, {'v': 'a', 'id': 'P357170.72.6.1'}]",abundant,niektest/P357170,P357170.72.6,r 68,sux,~;a,,lu;a,V/i,,(to-be)-abundant,,lu[abundant]V/i,72
328,sug₂,sug,-ge=g.e,,V/i,,in-na-sug₂-ge-eš-a,"[{'v': 'in', 'id': 'P357170.72.7.0', 'delim': '-'}, {'v': 'na', 'id': 'P357170.72.7.1', 'delim': '-'}, {'v': 'sug₂', 'id': 'P357170.72.7.2', 'delim': '-'}, {'v': 'ge', 'id': 'P357170.72.7.3', 'delim': '-'}, {'v': 'eš', 'id': 'P357170.72.7.4', 'delim': '-'}, {'v': 'a', 'id': 'P357170.72.7.5'}]",stand,niektest/P357170,P357170.72.7,r 68,sux,V.na:~;eš.a,,V.na:sug;eš.a,V/i,,stand,,sug[stand]V/i,72
329,diŋir,diŋir,, ,N,,diŋir-bi-gin₇,"[{'v': 'diŋir', 'id': 'P357170.73.1.0', 'delim': '-'}, {'v': 'bi', 'id': 'P357170.73.1.1', 'delim': '-'}, {'v': 'gin₇', 'id': 'P357170.73.1.2'}]",deity,niektest/P357170,P357170.73.1,r 69,sux,"~,bi.gin",,"diŋir,bi.gin",N,,deity,,diŋir[deity]N,73
330,mah,mah,, ,V/i,,ši-im-mah-en,"[{'v': 'ši', 'id': 'P357170.73.2.0', 'delim': '-'}, {'v': 'im', 'id': 'P357170.73.2.1', 'delim': '-'}, {'v': 'mah', 'id': 'P357170.73.2.2', 'delim': '-'}, {'v': 'en', 'id': 'P357170.73.2.3'}]",great,niektest/P357170,P357170.73.2,r 69,sux,ša.V.m:~;en,,ša.V.m:mah;en,V/i,,great,,mah[great]V/i,73
331,{ŋeš}šu₂-dul₄,šudul,, ,N,,{ŋeš}šu₂-dul₄,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'ŋeš', 'id': 'P357170.73.3.0'}]}, {'v': 'šu₂', 'id': 'P357170.73.3.1', 'delim': '-'}, {'v': 'dul₄', 'id': 'P357170.73.3.2'}]",yoke,niektest/P357170,P357170.73.3,r 69,sux,~,,šudul,N,,yoke,,šudul[yoke]N,73
332,kug,kug,, ,AJ,,kug-zu,"[{'v': 'kug', 'id': 'P357170.73.4.0', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.73.4.1'}]",pure,niektest/P357170,P357170.73.4,r 69,sux,"~;*a,zu",,"kug;*a,zu",V/i,,pure,,kug[pure]V/i,73
333,gur₃,gur,-ru=r.u,,V/t,,bi₂-in-gur₃-ru-uš,"[{'v': 'bi₂', 'id': 'P357170.73.5.0', 'delim': '-'}, {'v': 'in', 'id': 'P357170.73.5.1', 'delim': '-'}, {'v': 'gur₃', 'id': 'P357170.73.5.2', 'delim': '-'}, {'v': 'ru', 'id': 'P357170.73.5.3', 'delim': '-'}, {'v': 'uš', 'id': 'P357170.73.5.4'}]",lift,niektest/P357170,P357170.73.5,r 69,sux,ba.V.n:~;eš,,ba.V.n:gur;eš,V/t,,lift,,gur[lift]V/t,73
334,sug₂,gub,, ,V/i,,ša-mu-ra-sug₂,"[{'v': 'ša', 'id': 'P357170.74.1.0', 'delim': '-'}, {'v': 'mu', 'id': 'P357170.74.1.1', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.74.1.2', 'delim': '-'}, {'v': 'sug₂', 'id': 'P357170.74.1.3', 'queried': '1'}]",stand,niektest/P357170,P357170.74.1,r 70,sux,ša.mu.ra:~,,ša.mu.ra:gub,V/i,,stand,,gub[stand]V/i,74
335,,,, ,,,$KIN,"[{'s': 'KIN', 'id': 'P357170.74.2.0', 'queried': '1', 'role': 'sign'}]",,niektest/P357170,P357170.74.2,r 70,sux,,,,u,,,,$KIN[NA]NA,74
336,iri,iri,, ,N,,iri-ŋu₁₀,"[{'v': 'iri', 'id': 'P357170.74.3.0', 'delim': '-'}, {'v': 'ŋu₁₀', 'id': 'P357170.74.3.1'}]",city,niektest/P357170,P357170.74.3,r 70,sux,"~,ŋu",,"iri,ŋu",N,,city,,iri[city]N,74
337,saŋ,saŋ,, ,N,,saŋ,"[{'v': 'saŋ', 'id': 'P357170.74.4.0'}]",head,niektest/P357170,P357170.74.4,r 70,sux,~,,saŋ,N,,head,,saŋ[head]N,74
338,keš₂,kešed,, ,V/t,,keše₂-bi,"[{'v': 'keše₂', 'id': 'P357170.74.5.0', 'delim': '-'}, {'v': 'bi', 'id': 'P357170.74.5.1'}]",bind,niektest/P357170,P357170.74.5,r 70,sux,"~;*a,bi",,"kešed;*a,bi",V/t,,to-bind,,kešed[bind]V/t,74
339,igi,igi,, ,N,,igi-zu-še₃,"[{'v': 'igi', 'id': 'P357170.74.6.0', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.74.6.1', 'delim': '-'}, {'v': 'še₃', 'id': 'P357170.74.6.2'}]",eye,niektest/P357170,P357170.74.6,r 70,sux,"~,zu.eše",,"igi,zu.eše",N,,eye,,igi[eye]N,74
340,,,,,,,bi₂-ib-x,"[{'v': 'bi₂', 'id': 'P357170.74.7.0', 'delim': '-'}, {'v': 'ib', 'id': 'P357170.74.7.1', 'delim': '-'}, {'v': 'x', 'id': 'P357170.74.7.2', 'breakStart': '1', 'o': ']', 'break': 'missing', 'breakEnd': 'P357170.74.7.2'}]",,niektest/P357170,P357170.74.7,r 70,sux,,,,u,,,,bi₂-ib-x[NA]NA,74
341,lu₂,lu,, ,N,,lu₂,"[{'v': 'lu₂', 'id': 'P357170.75.1.0'}]",person,niektest/P357170,P357170.75.1,r 71,sux,~,,lu,N,,person,,lu[person]N,75
342,aš-ša₄,ašša,, ,AJ,,aš-ša₄-gin₇,"[{'v': 'aš', 'id': 'P357170.75.2.0', 'delim': '-'}, {'v': 'ša₄', 'id': 'P357170.75.2.1', 'delim': '-'}, {'v': 'gin₇', 'id': 'P357170.75.2.2'}]",perfect,niektest/P357170,P357170.75.2,r 71,sux,"~,gin",,"ašša,gin",AJ,,perfect,,ašša[perfect]AJ,75
343,igi,igi,, ,N,,igi-zu-še₃,"[{'v': 'igi', 'id': 'P357170.75.3.0', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.75.3.1', 'delim': '-'}, {'v': 'še₃', 'id': 'P357170.75.3.2'}]",eye,niektest/P357170,P357170.75.3,r 71,sux,"~,zu.eše",,"igi,zu.eše",N,,eye,,igi[eye]N,75
344,ŋal₂,ŋal,, ,V/i,,i-im-ŋal₂,"[{'v': 'i', 'id': 'P357170.75.4.0', 'delim': '-'}, {'v': 'im', 'id': 'P357170.75.4.1', 'delim': '-'}, {'v': 'ŋal₂', 'id': 'P357170.75.4.2'}]",be,niektest/P357170,P357170.75.4,r 71,sux,V.m:~,,V.m:ŋal,V/i,,be,,ŋal[be]V/i,75
345,,,, ,,,$IM,"[{'s': 'IM', 'id': 'P357170.75.5.0', 'role': 'sign'}]",,niektest/P357170,P357170.75.5,r 71,sux,,,,u,,,,$IM[NA]NA,75
346,,,, ,,,šub-bi,"[{'v': 'šub', 'id': 'P357170.75.6.0', 'delim': '-'}, {'v': 'bi', 'id': 'P357170.75.6.1'}]",,niektest/P357170,P357170.75.6,r 71,sux,,,,X,,,,šub-bi[NA]NA,75
347,,,,,,,ša-x,"[{'v': 'ša', 'id': 'P357170.75.7.0', 'break': 'damaged', 'ho': '1', 'delim': '-', 'hc': '1'}, {'v': 'x', 'id': 'P357170.75.7.1'}]",,niektest/P357170,P357170.75.7,r 71,sux,,,,u,,,,ša-x[NA]NA,75
348,um-ma,umma,, ,N,,um-ma,"[{'v': 'um', 'id': 'P357170.76.1.0', 'delim': '-'}, {'v': 'ma', 'id': 'P357170.76.1.1'}]",old-woman,niektest/P357170,P357170.76.1,r 72,sux,~,,umma,N,,old-woman,,umma[old-woman]N,76
349,bur-šu-ma,buršuma,, ,N,,bur-šu-ma,"[{'v': 'bur', 'id': 'P357170.76.2.0', 'delim': '-'}, {'v': 'šu', 'id': 'P357170.76.2.1', 'delim': '-'}, {'v': 'ma', 'id': 'P357170.76.2.2'}]",dowager,niektest/P357170,P357170.76.2,r 72,sux,~,,buršuma,N,,dowager-matriarch-matron,,buršuma[dowager]N,76
350,egi₂-zid-da,egizid,, ,N,,egi₂-zid-da,"[{'v': 'egi₂', 'id': 'P357170.76.3.0', 'delim': '-'}, {'v': 'zid', 'id': 'P357170.76.3.1', 'delim': '-'}, {'v': 'da', 'id': 'P357170.76.3.2'}]",priestess,niektest/P357170,P357170.76.3,r 72,sux,~,,egizid,N,,priestess,,egizid[priestess]N,76
351,ki-sikil,kisikil,, ,N,,ki-sikil,"[{'v': 'ki', 'id': 'P357170.76.4.0', 'delim': '-'}, {'v': 'sikil', 'id': 'P357170.76.4.1'}]",woman,niektest/P357170,P357170.76.4,r 72,sux,~,,kisikil,N,,young-woman,,kisikil[woman]N,76
352,saŋ,saŋ,, ,N,,saŋ,"[{'v': 'saŋ', 'id': 'P357170.76.5.0'}]",head,niektest/P357170,P357170.76.5,r 72,sux,~,,saŋ,N,,head,,saŋ[head]N,76
353,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.76.6.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.76.6.0'}]",,niektest/P357170,P357170.76.6,r 72,sux,,,,u,,,,x[NA]NA,76
354,{lu₂}banda₃{+da},banda,, ,N,,{lu₂}banda₃{+da},"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'lu₂', 'id': 'P357170.77.1.0'}]}, {'v': 'banda₃', 'id': 'P357170.77.1.1'}, {'det': 'phonetic', 'pos': 'post', 'seq': [{'v': 'da', 'id': 'P357170.77.1.2'}]}]",child,niektest/P357170,P357170.77.1,r 73,sux,~,,banda,N,,child,,banda[child]N,77
355,ab-ba,abba,, ,N,,ab-ba,"[{'v': 'ab', 'id': 'P357170.77.2.0', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.77.2.1'}]",father,niektest/P357170,P357170.77.2,r 73,sux,~,,abba,N,,father,,abba[father]N,77
356,ŋuruš,ŋuruš,-ša=š.a, ,N,,ŋuruš-ša,"[{'v': 'ŋuruš', 'id': 'P357170.77.3.0', 'delim': '-'}, {'v': 'ša', 'id': 'P357170.77.3.1'}]",male,niektest/P357170,P357170.77.3,r 73,sux,"~,a",,"ŋuruš,a",N,,male,,ŋuruš[male]N,77
357,šu,šu,, ,N,,šu,"[{'v': 'šu', 'id': 'P357170.77.4.0'}]",hand,niektest/P357170,P357170.77.4,r 73,sux,~,,šu,N,,hand,,šu[hand]N,77
358,ŋar,ŋar,,,V/t,,mu-un-ne-ŋar,"[{'v': 'mu', 'id': 'P357170.77.5.0', 'delim': '-'}, {'v': 'un', 'id': 'P357170.77.5.1', 'delim': '-'}, {'v': 'ne', 'id': 'P357170.77.5.2', 'delim': '-'}, {'v': 'ŋar', 'id': 'P357170.77.5.3'}]",place,niektest/P357170,P357170.77.5,r 73,sux,mu.na.e:~,,mu.na.e:ŋar,V/t,,place,,ŋar[place]V/t,77
359,gala,gala,, ,N,,gala,"[{'v': 'gala', 'id': 'P357170.78.1.0'}]",singer,niektest/P357170,P357170.78.1,r 74,sux,~,,gala,N,,lamentation-singer,,gala[singer]N,78
